WinOrLose,VoteNum,CandidateName,MembersNum,Karya,MunMemberNum,Baladiya,Kada,Muhafaza,List
نورساخلا ,15074,دوبع زياف عيبر ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نورساخلا ,15054,كب ناورم دمحم ىدف ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نورساخلا ,14916,هرابك رينم رهاز ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,14700,طيلبز ناعمس جروج ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,14655,دادح ناسغ تكوش ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,14510,يحلا دبع رمع يمار ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,14489,طلاخ كاج سايلا ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,13980,نسح دمحم نيرع ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,13953,ناميلس ناوطنأ لاوقن ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نورساخلا ,13744,يسلبارطلا ىفطصم ماسب ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,13725,ةضومح دمحم دايز ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,13102,حاجحج دومحم عيبر ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نورساخلا ,4976,بدحا ينوع حابصم دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,4411,يواكعلا ليلخ يبرع ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,3700,قلاخلا دبع دمحم قلاخلا دبع ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,2877,يناولح ريهز دمحا ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 2022
نورساخلا ,2258,قمي دمحم متسر ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 2022
نورساخلا ,2110,ونيف ترصن هيزن ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 2022
نورساخلا ,1949,سودرف فسوي دمحا ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1918,لازغلا ناندع ميهاربإ ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1838,يسيوسلا نيدلا زع ديلو ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 2022
نورساخلا ,1824,يردان يماس عيبر ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1678,سبعرونأ دمحم للاج ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,1655,يلامكلا دمحا رماع ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,1623,هرابك ناسغ بلاط ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1569,كلم اللهدبع فسوي دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1537,يراقلا ضاير دايز ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1534,ملسملا لامج دامع ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1527,فيرشلا فيرشلا دمحم دورو ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1449,ىسوم حلاص زيزعلا دبع ىفطصم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1448,امش لصيف رصن ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1443,دارط قراط دمحم دايز ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Tarablos 'asima
نورساخلا ,1046,رطم الله دعس دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,945,موسا ريهظ دمحم يمار ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Mouwatinoun Wa Mouwatinat Fi Dawla
نورساخلا ,563,ميهاربإ ناملس فسوي ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,487,دادقم ميلس دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,429,يدوراب رفاظ اللهدبع ديعس دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,FPM
نورساخلا ,397,ناحطلا يركب دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,157,رصان دمحا دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,143,يجرمسلا داؤف ريهز ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,109,هبيد لاشيم ناسغ ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,83,روضخ دمحم هديوه ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,48,يوانض دمحا ةراس ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,41,ريكاب رساي رهام ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,39,اللهدبع اللهدبع ياريم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,30,هكرب الله دبع لامك ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,28,يرصملا ليعامسإ ناوضر لابير ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,18,داوع نيدلا يحم قازرلا دبع ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,10,ديسلا فورعم دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,6,مناغ ىفطصم حلاص ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,5,يمهدا يفطل دمحم رينم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
نورساخلا ,2,ناميلس نيساي تعفر ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Independent
